Queries,	Number of Overlapping Results,	Percent Overlap,	Spearman Coefficient
How do you replace coolant thermostat,	2,	20.0,	-4.0
How is library science vand information science related,	5,	50.0,	-0.55
Which phase is the non dividing stage,	1,	10.0,	0
How much has michael vick worth after release from prison,	2,	20.0,	-39.0
How can you get rid of dog fleas,	2,	20.0,	-1.0
This is the third largest oceans,	2,	20.0,	-40.0
What is kristen steawerts brothers name,	2,	20.0,	-4.0
What type of relief is the coastal plains,	3,	30.0,	-13.75
What do the word anteroposterior means,	4,	40.0,	-1.7000000000000002
Does selena gomez have verizon wireless for her cell phone,	0,	0.0,	0
What is winston churchills big achievements,	3,	30.0,	-1.0
What is the value of a 1988 barbie collectible,	3,	30.0,	-8.0
Who does sleaner gomez love,	2,	20.0,	-44.0
How many books selling online,	3,	30.0,	-7.5
How much anderson shelters cost in ww2,	4,	40.0,	-5.6
What is an exzmple of soliloquy,	6,	60.0,	0.4571428571428572
Who invented first electirc stove and when,	5,	50.0,	0.25
What kind of cells make electricity from light,	2,	20.0,	-15.0
Advantages and disadvantages of a bank,	2,	20.0,	1.0
What is the difference between an electrician and an electrical engineer,	5,	50.0,	-1.4500000000000002
What is the sequence to obtain a DNA fingerprint,	1,	10.0,	0
Where is nadia comasneci 's academy the perfect ten,	1,	10.0,	0
One pound of confectioners sugar equals how many ounces,	4,	40.0,	-6.4
What skills are needed to become a surgeon to be successful,	7,	70.0,	0.0892857142857143
How much does a 1996 chevy lumina weigh,	4,	40.0,	-6.4
The precipitaion of a cougar,	2,	20.0,	-4.0
What are the Functions of proteins to the body,	2,	20.0,	-9.0
How much did the vietnam war cost per day,	6,	60.0,	-0.6857142857142857
Largest living life on earth,	2,	20.0,	-19.0
The twinkling of stars is caused by,	2,	20.0,	0.0
What kind of music is listened toin costa rica,	7,	70.0,	0.4821428571428571
Width of a football field in yards,	6,	60.0,	-0.5714285714285714
What is revolution of the sun,	3,	30.0,	-1.5
How do snakes adapt to there enviornment,	6,	60.0,	0.08571428571428574
Lil wayne 's favorite type of movie,	1,	10.0,	1
Where to get legendary pokemon on tppcrpg,	1,	10.0,	0
What is moon jelly a radial or bilateral,	1,	10.0,	0
Does she love corbin blu,	2,	20.0,	-35.0
What is grammatical cohesion,	4,	40.0,	-0.3999999999999999
What family does a lizard come from,	5,	50.0,	-0.8
How much do event planners make yearly,	7,	70.0,	-0.375
What did the person that invented the first motor bike look like,	3,	30.0,	-1.75
What are some cloven hooved animals,	4,	40.0,	-4.5
1963 five dollar bill with red serial numbers,	5,	50.0,	-1.7999999999999998
How do you get rid of acene fast,	5,	50.0,	0.09999999999999998
What is a moderately slow oven,	3,	30.0,	0.0
Are Lea and cory dating,	2,	20.0,	-49.0
What are some commensasm relationships,	5,	50.0,	0.30000000000000004
Where are the Black Hills located,	6,	60.0,	0.6285714285714286
What caused worldwide economic crisis,	4,	40.0,	-1.7000000000000002
Where does a snowstorm less likely happen,	3,	30.0,	-16.0
Class action lawsuit,	5,	50.0,	-4.85
Stratified random sampling,	4,	40.0,	0.7
Number of quarters in a roll,	3,	30.0,	-4.25
Who was in spains first government,	1,	10.0,	0
What si social darwinism,	5,	50.0,	0.5
Persecution of the christian church,	2,	20.0,	-4.0
Where does saltwater sponges live,	4,	40.0,	0.4
The photic zone has an maximum depth of,	3,	30.0,	-3.5
Blue and pink make what,	1,	10.0,	0
What are the various irrigation practices in the villages,	1,	10.0,	0
How do you care for newborn pitbull pups,	4,	40.0,	-1.0
10 common defects characteristics in timber,	5,	50.0,	0.4
What are chinas important landmarks,	5,	50.0,	-4.1
What are utahs four largest cities,	4,	40.0,	-3.9000000000000004
What are two powers that the legislative branch has,	2,	20.0,	0.0
Branches on every division of philosophy,	4,	40.0,	-3.5999999999999996
What do the people in lebanon speak,	5,	50.0,	-2.75
What is the reason for the novel The Da Vinci Code,	1,	10.0,	0
How many millimeter in one liter,	3,	30.0,	0.0
What language do people speak in Angola,	5,	50.0,	0.55
How can you delete your millsberry,	0,	0.0,	0
Would be a key to preventing future genocide,	0,	0.0,	0
How many teaspoons in one half ounce liquid,	2,	20.0,	-8.0
What are some cheerleading facts,	5,	50.0,	-0.6499999999999999
When is the coast guard day celebrated,	7,	70.0,	-0.4821428571428572
How far away it is from mercury,	5,	50.0,	-0.8500000000000001
Code for rip jaws in dna,	1,	10.0,	0
Worlds largest chicken,	5,	50.0,	-4.7
What is the postal code of kentucky,	5,	50.0,	-2.6
What creates a sandstorm,	3,	30.0,	0.5
How much does a pound of marijuana cost in the us,	3,	30.0,	-11.75
How do you get the keys in sleuthhound,	2,	20.0,	-8.0
Where is the largest bridgewho built itwhat kind of bridge is it,	0,	0.0,	0
Apakah kraf tangan yang dibuat pada kain songket,	3,	30.0,	-18.0
Why does a carbonated drink become flat when left open,	1,	10.0,	0
Why sacrifice must environment to achieve development,	1,	10.0,	0
How many atoms are contained in eachmolecule of sulfuric acid,	1,	10.0,	0
Who is the most famous african american mathmatician,	3,	30.0,	0.5
What kind of cultures do chile have,	4,	40.0,	-1.1
Gas was used for balloons long time ago,	2,	20.0,	-28.0
Can someone infected with syphillis get symptoms a week later,	3,	30.0,	-6.5
Can dogs eat pomegranite seeds,	0,	0.0,	0
Really interesting facts about hernando cortez,	5,	50.0,	0.30000000000000004
What language ia used in greece,	5,	50.0,	-0.3999999999999999
Who is the most famous artist in guatemala,	3,	30.0,	-9.75
What are some fun sex games,	2,	20.0,	-52.0
How does an elephant attract its mate,	2,	20.0,	-1.0
How many calories in cooked beef,	1,	10.0,	0
How many years do you need to go to college to be a cop,	2,	20.0,	-4.0
Averages,	5.7272727272727275,	57.27272727272727,	-9.580389610389611
